Administrative,Administrative_Duration,Informational,Informational_Duration,ProductRelated,ProductRelated_Duration,BounceRates,PageValues,SpecialDay,Q1,Q2,Q3,Q4,IsMajorOS,IsPopularBrowser,Region,TrafficType,Traffic_Type1,Traffic_Type2,Traffic_Type3,Traffic_Type4,TrafficType_Other,Returning_Visitor,Weekend,Total_PageView,Total_TimeSpent,AvgTime_PerPage,Conversion_Efficiency,Revenue
0,0,0,0,1,0,0.2,0,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,1,0,0,0,0
0,0,0,0,2,64,0,0,0,1,0,0,0,1,1,1,2,0,1,0,0,0,1,0,2,64,21.33333333,0,0
0,0,0,0,1,0,0.2,0,0,1,0,0,0,0,1,9,3,0,0,1,0,0,1,0,1,0,0,0,0
0,0,0,0,2,2.666666667,0.05,0,0,1,0,0,0,1,1,2,4,0,0,0,1,0,1,0,2,2.666666667,0.888888889,0,0
0,0,0,0,10,627.5,0.02,0,0,1,0,0,0,1,0,1,4,0,0,0,1,0,1,1,10,627.5,57.04545455,0,0
0,0,0,0,19,154.2166667,0.015789474,0,0,1,0,0,0,1,1,1,3,0,0,1,0,0,1,0,19,154.2166667,7.710833335,0,0
0,0,0,0,1,0,0.2,0,0.4,1,0,0,0,1,0,3,3,0,0,1,0,0,1,0,1,0,0,0,0
1,0,0,0,0,0,0.2,0,0,1,0,0,0,1,1,1,5,0,0,0,0,1,1,1,1,0,0,0,0
0,0,0,0,2,37,0,0,0.8,1,0,0,0,1,1,2,3,0,0,1,0,0,1,0,2,37,12.33333333,0,0
0,0,0,0,3,738,0,0,0.4,1,0,0,0,1,0,1,2,0,1,0,0,0,1,0,3,738,184.5,0,0
0,0,0,0,3,395,0,0,0,1,0,0,0,1,1,3,3,0,0,1,0,0,1,0,3,395,98.75,0,0
0,0,0,0,16,407.75,0.01875,0,0.4,1,0,0,0,1,1,4,3,0,0,1,0,0,1,0,16,407.75,23.98529412,0,0
0,0,0,0,7,280.5,0,0,0,1,0,0,0,1,1,1,3,0,0,1,0,0,1,0,7,280.5,35.0625,0,0
0,0,0,0,6,98,0,0,0,1,0,0,0,1,0,1,3,0,0,1,0,0,1,0,6,98,14,0,0
0,0,0,0,2,68,0,0,0,1,0,0,0,1,1,3,3,0,0,1,0,0,1,0,2,68,22.66666667,0,0
2,53,0,0,23,1668.285119,0.008333333,0,0,1,0,0,0,1,1,9,3,0,0,1,0,0,1,0,25,1721.285119,66.20327381,0,0
0,0,0,0,1,0,0.2,0,0,1,0,0,0,1,1,4,3,0,0,1,0,0,1,0,1,0,0,0,0
0,0,0,0,13,334.9666667,0,0,0,1,0,0,0,1,1,1,4,0,0,0,1,0,1,1,13,334.9666667,23.92619048,0,0
0,0,0,0,2,32,0,0,0,1,0,0,0,1,1,1,3,0,0,1,0,0,1,0,2,32,10.66666667,0,0
